source,artist,audio_filepath,method,style,test_set,title,track_id,dataset,SAR,SIR,ISR,SDR
vocals,ANiMAL,/vol/vssp/maruss/data2/MUS2017/CHA/Test/001 - ANiMAL - Clinic A/vocals.wav,CHA,Rap,1,Clinic A,1,MUS2016,4.426010544694726,0.337471682718815,7.943412878811586,-1.4968865458499556
vocals,ANiMAL,/vol/vssp/maruss/data2/MUS2017/CHA/Test/002 - ANiMAL - Rockshow/vocals.wav,CHA,Rap,1,Rockshow,2,MUS2016,5.182787907569213,5.760553725430844,11.5030428468876,1.3331525847503276
vocals,Actions,/vol/vssp/maruss/data2/MUS2017/CHA/Test/003 - Actions - One Minute Smile/vocals.wav,CHA,Pop/Rock,1,One Minute Smile,3,MUS2016,6.658126643980433,3.918582316444564,4.932088702121606,1.3204586076247993
vocals,Al James,/vol/vssp/maruss/data2/MUS2017/CHA/Test/004 - Al James - Schoolboy Facination/vocals.wav,CHA,Pop/Rock,1,Schoolboy Facination,4,MUS2016,7.412954169241504,7.683378107049732,8.159175419220723,2.6983358082769247
vocals,Angela Thomas Wade,/vol/vssp/maruss/data2/MUS2017/CHA/Test/005 - Angela Thomas Wade - Milk Cow Blues/vocals.wav,CHA,Country,1,Milk Cow Blues,5,MUS2016,7.479679219272095,2.779471458398139,11.813755844226348,-1.0664981533722189
vocals,Atlantis Bound,/vol/vssp/maruss/data2/MUS2017/CHA/Test/006 - Atlantis Bound - It Was My Fault For Waiting/vocals.wav,CHA,Pop/Rock,1,It Was My Fault For Waiting,6,MUS2016,6.756925188738613,10.2065561089165,10.012456891188435,3.253633742106532
vocals,BKS,/vol/vssp/maruss/data2/MUS2017/CHA/Test/007 - BKS - Too Much/vocals.wav,CHA,Pop/Rock,1,Too Much,7,MUS2016,7.8108454435451975,11.362814001265686,9.331509200981266,3.7196366705507646
vocals,Bill Chudziak,/vol/vssp/maruss/data2/MUS2017/CHA/Test/008 - Bill Chudziak - Children Of No-one/vocals.wav,CHA,Pop/Rock,1,Children Of No-one,8,MUS2016,3.9650992948018344,5.017357284903493,6.472407206043558,1.3289437737149532
vocals,Bobby Nobody,/vol/vssp/maruss/data2/MUS2017/CHA/Test/009 - Bobby Nobody - Stitch Up/vocals.wav,CHA,Pop/Rock,1,Stitch Up,9,MUS2016,5.1371832173900405,7.2333014585464115,10.46746513710074,2.1108405043811223
vocals,Carlos Gonzalez,/vol/vssp/maruss/data2/MUS2017/CHA/Test/010 - Carlos Gonzalez - A Place For Us/vocals.wav,CHA,Pop/Rock,1,A Place For Us,10,MUS2016,7.185968809870492,5.875410270317022,7.270029307717384,1.6708403183682452
